query,relevant_doc
Which trial evaluated Exercise-related hypoglycaemia?,Exercise-related hypoglycaemia
What studies investigated Efficacy and Safety of Chiglitazar Sodium in the Treatment of T2DM Patients|Metformin Combined With Insulin Glargine in the Treatment of Type 2 Diabetes Patients Who Still Have Poor Hypoglycemic Effect|128 Patients Were Randomly Assigned 1:1|Metformin and Insulin Glargine Combined With Chiglitazar Sodium Tablets 48mg/ Day Group|Metformin and Insulin Glargine Combined With Placebo Group|InvestigatorInitiate Trial|Changes in HbA1C From Baseline at 18 Weeks of Treatment?,Efficacy and Safety of Chiglitazar Sodium in the Treatment of T2DM Patients|Metformin Combined With Insulin Glargine in the Treatment of Type 2 Diabetes Patients Who Still Have Poor Hypoglycemic Effect|128 Patients Were Randomly Assigned 1:1|Metformin and Insulin Glargine Combined With Chiglitazar Sodium Tablets 48mg/ Day Group|Metformin and Insulin Glargine Combined With Placebo Group|InvestigatorInitiate Trial|Changes in HbA1C From Baseline at 18 Weeks of Treatment
Which trial evaluated Chiglitazar sodium?,Chiglitazar sodium
Which trial evaluated Placebo to BI 135585?,Placebo to BI 135585
What studies investigated Type2 Diabetes?,Type2 Diabetes
Which trial evaluated Gemigliptin/Metformin Hydrochloride Sustained Release 50/1000 mg(Fasting)?,Gemigliptin/Metformin Hydrochloride Sustained Release 50/1000 mg(Fasting)
Which trial evaluated No intervention?,No intervention
What studies investigated Healthy Adult Participants|Controlled Hypertension|Controlled Diabetes?,Healthy Adult Participants|Controlled Hypertension|Controlled Diabetes
Which trial evaluated COMBINATION_PRODUCT: Ginkgo App-based Exercise Training?,COMBINATION_PRODUCT: Ginkgo App-based Exercise Training
What studies investigated Obesity?,Obesity
Which trial evaluated SHR20004?,SHR20004
What studies investigated Type1diabetes?,Type1diabetes
Which trial evaluated very low carbohydrate diet?,very low carbohydrate diet
What studies investigated Type 2 Diabetes?,Type 2 Diabetes
"What studies investigated Diabetes Mellitus, Type 1?","Diabetes Mellitus, Type 1"
Which trial evaluated COMBINATION_PRODUCT: Euglyca application?,COMBINATION_PRODUCT: Euglyca application
Which trial evaluated LY2963016?,LY2963016
What studies investigated Diabetes Mellitus?,Diabetes Mellitus
Which trial evaluated DIETARY_SUPPLEMENT: Bovine Colostrum?,DIETARY_SUPPLEMENT: Bovine Colostrum
What studies investigated NonDiabetes|Glucose Variability|CGM?,NonDiabetes|Glucose Variability|CGM
Which trial evaluated CGM System for Type 1 and Type 2 Diabetes Mellitus?,CGM System for Type 1 and Type 2 Diabetes Mellitus
Which trial evaluated insulin delivery?,insulin delivery
Which trial evaluated Sotagliflozin (SAR439954)?,Sotagliflozin (SAR439954)
What studies investigated Diabetes Complications|Diabetic Retinopathy?,Diabetes Complications|Diabetic Retinopathy
Which trial evaluated iPad app?,iPad app
"What studies investigated Diabetes Mellitus, Type 2|Lifestyle Risk Reduction?","Diabetes Mellitus, Type 2|Lifestyle Risk Reduction"
Which trial evaluated FreeStyle Libre?,FreeStyle Libre
What studies investigated Chronic Periodontitis|Chronic Periodontitis Wth Diabetes Mellitus|Non-surgical Periodontal Treatment|Gingival Regeneration|Metabolic Repair?,Chronic Periodontitis|Chronic Periodontitis Wth Diabetes Mellitus|Non-surgical Periodontal Treatment|Gingival Regeneration|Metabolic Repair
Which trial evaluated DIETARY_SUPPLEMENT: Nutraceutical Bio-Active Oral Repair Formula (Food-Grade)?,DIETARY_SUPPLEMENT: Nutraceutical Bio-Active Oral Repair Formula (Food-Grade)
Which trial evaluated Saxagliptin?,Saxagliptin
"What studies investigated Obesity|Diabetes Mellitus, Type 2?","Obesity|Diabetes Mellitus, Type 2"
Which trial evaluated PROCEDURE: Laparoscopic Roux-en-Y Gastric Bypass?,PROCEDURE: Laparoscopic Roux-en-Y Gastric Bypass
"What studies investigated Peripheral Arterial Disease (PAD)|Diabetes Mellitus (DM)|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Cardiovascular Disease|Critical Limb Ischemia (CLI)?","Peripheral Arterial Disease (PAD)|Diabetes Mellitus (DM)|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Cardiovascular Disease|Critical Limb Ischemia (CLI)"
Which trial evaluated REX-001?,REX-001
What studies investigated Diabetes|Cardiovascular Risk Factor?,Diabetes|Cardiovascular Risk Factor
Which trial evaluated Current Intervention?,Current Intervention
What studies investigated Healthy|Type 1 Diabetes?,Healthy|Type 1 Diabetes
Which trial evaluated Lisofylline?,Lisofylline
Which trial evaluated DIETARY_SUPPLEMENT: Supplementation of Moringa oleifera leaf powder?,DIETARY_SUPPLEMENT: Supplementation of Moringa oleifera leaf powder
What studies investigated Diabetic Nephropathy|Type 2 Diabetes?,Diabetic Nephropathy|Type 2 Diabetes
Which trial evaluated BIOLOGICAL: Mesenchymal Precursor Cells (MPCs)?,BIOLOGICAL: Mesenchymal Precursor Cells (MPCs)
Which trial evaluated Sleep parameters data collection?,Sleep parameters data collection
What studies investigated Wolfram Syndrome|Fecal Incontinence?,Wolfram Syndrome|Fecal Incontinence
Which trial evaluated Retrospective case-control analysis?,Retrospective case-control analysis
What studies investigated Diabetes Mellitus Type 2?,Diabetes Mellitus Type 2
Which trial evaluated Diabetes self management @ click?,Diabetes self management @ click
What studies investigated Type 1 Diabetes (T1D)?,Type 1 Diabetes (T1D)
Which trial evaluated TeKnO T1D curriculum?,TeKnO T1D curriculum
What studies investigated Obesity|Depression|Diabetes|Hypertension|Hypercholesterolemia?,Obesity|Depression|Diabetes|Hypertension|Hypercholesterolemia
Which trial evaluated Holistic health?,Holistic health
"What studies investigated Periodontitis, Diabetes Mellitus Type 2?","Periodontitis, Diabetes Mellitus Type 2"
Which trial evaluated local antibiotic application of topical minocycline?,local antibiotic application of topical minocycline
Which trial evaluated Chromium Picolinate (600 mcg Cr) + biotin (2 mg)?,Chromium Picolinate (600 mcg Cr) + biotin (2 mg)
What studies investigated Diabetes|Hypertension|Food Insecurity|Low-Income Population|Insurance Coverage?,Diabetes|Hypertension|Food Insecurity|Low-Income Population|Insurance Coverage
Which trial evaluated $80 Grocery Support Monthly Program?,$80 Grocery Support Monthly Program
Which trial evaluated Continuous glucose glucose sensor- physician ordered?,Continuous glucose glucose sensor- physician ordered
What studies investigated Advanced Solid Tumor|Metastatic Solid Tumor|Soft Tissue Sarcoma (STS)|Platinum-resistant Ovarian Cancer (PROC)|Hepatocellular Carcinoma (HCC)|Colorectal Cancer (CRC)|HER2 Negative Breast Cancer|Cutaneous Melanoma|Renal Cell Carcinoma (RCC)?,Advanced Solid Tumor|Metastatic Solid Tumor|Soft Tissue Sarcoma (STS)|Platinum-resistant Ovarian Cancer (PROC)|Hepatocellular Carcinoma (HCC)|Colorectal Cancer (CRC)|HER2 Negative Breast Cancer|Cutaneous Melanoma|Renal Cell Carcinoma (RCC)
Which trial evaluated GI-102 subcutaneous (SC)?,GI-102 subcutaneous (SC)
What studies investigated Type 1 Diabetes Mellitus?,Type 1 Diabetes Mellitus
Which trial evaluated Fiasp®?,Fiasp®
What studies investigated Diabetic Pregnancy|Insulin Resistance|Type1diabetes?,Diabetic Pregnancy|Insulin Resistance|Type1diabetes
Which trial evaluated metforminhydrochloride?,metforminhydrochloride
What studies investigated Non-Proliferative Diabetic Retinopathy|Cataract?,Non-Proliferative Diabetic Retinopathy|Cataract
"Which trial evaluated Nepafenac Ophthalmic Suspension, 0.3%?","Nepafenac Ophthalmic Suspension, 0.3%"
What studies investigated Sodium Glucose Co-Transporter 2 Inhibitors|Estimated Glomerular Filtration Rate|Diabetes|Chronic Kidney Disease?,Sodium Glucose Co-Transporter 2 Inhibitors|Estimated Glomerular Filtration Rate|Diabetes|Chronic Kidney Disease
Which trial evaluated Sodium Glucose Co-Transporter 2 Inhibitors?,Sodium Glucose Co-Transporter 2 Inhibitors
Which trial evaluated Positive Airway Pressure therapy?,Positive Airway Pressure therapy
Which trial evaluated GlucoTab?,GlucoTab
What studies investigated Hyperglycemia?,Hyperglycemia
What studies investigated Diabetes Mellitus|Type 2 Diabetes|Type 1 Diabetes|Diabetic Nephropathies|Diabetic Kidney Disease|Diabetic Angiopathies|Cardiovascular Diseases|Coronary Heart Disease|Diabetic Retinopathy|Stroke|Diabetes?,Diabetes Mellitus|Type 2 Diabetes|Type 1 Diabetes|Diabetic Nephropathies|Diabetic Kidney Disease|Diabetic Angiopathies|Cardiovascular Diseases|Coronary Heart Disease|Diabetic Retinopathy|Stroke|Diabetes
Which trial evaluated prospective observational study?,prospective observational study
What studies investigated Prediabetes / Type 2 Diabetes?,Prediabetes / Type 2 Diabetes
Which trial evaluated Exubera (inhaled insulin)?,Exubera (inhaled insulin)
What studies investigated Arginine Vasopressin Deficiency|Diabetes Insipidus?,Arginine Vasopressin Deficiency|Diabetes Insipidus
Which trial evaluated Oxytocin nasal spray?,Oxytocin nasal spray
What studies investigated Gastroparesis?,Gastroparesis
Which trial evaluated Itopride?,Itopride
What studies investigated Type II Diabetes?,Type II Diabetes
Which trial evaluated PS1?,PS1
What studies investigated Type II Diabetes Mellitus?,Type II Diabetes Mellitus
Which trial evaluated LIXISENATIDE AVE0010?,LIXISENATIDE AVE0010
"What studies investigated Diabetes Mellitus, Non-Insulin-Dependent|Glucose Intolerance?","Diabetes Mellitus, Non-Insulin-Dependent|Glucose Intolerance"
Which trial evaluated Intensive lifestyle?,Intensive lifestyle
What studies investigated Peripheral Vascular Disease in Diabetes?,Peripheral Vascular Disease in Diabetes
Which trial evaluated DIAGNOSTIC_TEST: Five points test of Tongji university?,DIAGNOSTIC_TEST: Five points test of Tongji university
What studies investigated Cardiovascular Disease|Diabetes|Cancer|Mortality?,Cardiovascular Disease|Diabetes|Cancer|Mortality
Which trial evaluated Low-risk lifestyle behaviours?,Low-risk lifestyle behaviours
What studies investigated Diabetes Mellitus|Physical Activity|Dietetic Rules|Therapeutic Education?,Diabetes Mellitus|Physical Activity|Dietetic Rules|Therapeutic Education
Which trial evaluated SPA Treatment with therapeutic education and physical activity?,SPA Treatment with therapeutic education and physical activity
What studies investigated Type 2 Diabetes|Obesity|Overweight|Cardiovascular Diseases?,Type 2 Diabetes|Obesity|Overweight|Cardiovascular Diseases
Which trial evaluated A canola oil enriched mediterranean diet?,A canola oil enriched mediterranean diet
What studies investigated T2DM (Type 2 Diabetes Mellitus)?,T2DM (Type 2 Diabetes Mellitus)
What studies investigated Diabetes in Pregnancy?,Diabetes in Pregnancy
Which trial evaluated Positive incentive?,Positive incentive
Which trial evaluated sitagliptin?,sitagliptin
"What studies investigated Diabetes Mellitus, Type 1|Pregnancy in Diabetics|Pregnancy, High-Risk|Insulin Dependent Diabetes?","Diabetes Mellitus, Type 1|Pregnancy in Diabetics|Pregnancy, High-Risk|Insulin Dependent Diabetes"
Which trial evaluated Hybrid closed loop insulin delivery system?,Hybrid closed loop insulin delivery system
What studies investigated Type 1 Diabetes|Peripheral Arterial Calcification?,Type 1 Diabetes|Peripheral Arterial Calcification
"What studies investigated Food Insecurity|Diabetes Mellitus, Type 2?","Food Insecurity|Diabetes Mellitus, Type 2"
Which trial evaluated Type 2 Diabetes Appropriate Food Boxes + Diabetes Education?,Type 2 Diabetes Appropriate Food Boxes + Diabetes Education
What studies investigated Type 2 Diabetes|Coronary Artery Disease (CAD)|Atherosclerosis Cardiovascular Disease?,Type 2 Diabetes|Coronary Artery Disease (CAD)|Atherosclerosis Cardiovascular Disease
Which trial evaluated Type 1 diabetic patients freestyle libre?,Type 1 diabetic patients freestyle libre
What studies investigated Diabetic Foot Ulcer (DFU)|Lower Extremity?,Diabetic Foot Ulcer (DFU)|Lower Extremity
Which trial evaluated Graft Application?,Graft Application
What studies investigated Diabetes Mellitus Type 2|Fecal Microbiota Transplantation (FMT)|Oral Glucose Tolerance Test|Continuous Glucose Monitoring?,Diabetes Mellitus Type 2|Fecal Microbiota Transplantation (FMT)|Oral Glucose Tolerance Test|Continuous Glucose Monitoring
Which trial evaluated Fecal Microbial Transplantation?,Fecal Microbial Transplantation
What studies investigated Diabetic Kidney Disease|Potassium Imbalance|Magnesium Deficiency?,Diabetic Kidney Disease|Potassium Imbalance|Magnesium Deficiency
Which trial evaluated Multifactorial intervention?,Multifactorial intervention
"What studies investigated Diabetes|Diabetes Mellitus, Type 2?","Diabetes|Diabetes Mellitus, Type 2"
Which trial evaluated biphasic insulin aspart 30?,biphasic insulin aspart 30
What studies investigated Obesity|Insulin Resistance?,Obesity|Insulin Resistance
What studies investigated Non-proliferative Diabetic Retinopathy|Proliferative Diabetic Retinopathy?,Non-proliferative Diabetic Retinopathy|Proliferative Diabetic Retinopathy
Which trial evaluated OPL-0401 Dose 1?,OPL-0401 Dose 1
What studies investigated Diabetes Mellitus Type 2|Hyperglycemia?,Diabetes Mellitus Type 2|Hyperglycemia
Which trial evaluated GLP-1?,GLP-1
"Which trial evaluated Insulin glargine,300 U/mL?","Insulin glargine,300 U/mL"
What studies investigated Insulin Resistance|Obesity|Metabolic Syndrome?,Insulin Resistance|Obesity|Metabolic Syndrome
Which trial evaluated weight loss?,weight loss
What studies investigated Diabetic Neuropathy?,Diabetic Neuropathy
Which trial evaluated yoga?,yoga
Which trial evaluated Technetium Tc99m Sestamibi?,Technetium Tc99m Sestamibi
What studies investigated End Stage Renal Disease?,End Stage Renal Disease
Which trial evaluated duplex Doppler ultrasonography?,duplex Doppler ultrasonography
What studies investigated Diabetic Foot Ulcer?,Diabetic Foot Ulcer
Which trial evaluated 12-week exercise regimen?,12-week exercise regimen
What studies investigated Neuropathic Pain?,Neuropathic Pain
Which trial evaluated Carbamazepine?,Carbamazepine
What studies investigated Diabetes or With New Hyperglycemia?,Diabetes or With New Hyperglycemia
Which trial evaluated Glucommander?,Glucommander
What studies investigated Inflammation|Insulin Resistance?,Inflammation|Insulin Resistance
Which trial evaluated Raspberries?,Raspberries
What studies investigated Diabetes Mellitus|Type 1 Diabetes|Insulin Pump?,Diabetes Mellitus|Type 1 Diabetes|Insulin Pump
Which trial evaluated t:slim insulin pump with predictive low glucose suspend?,t:slim insulin pump with predictive low glucose suspend
What studies investigated Diabetes Mellitus|Gastroparesis With Diabetes Mellitus|Gastroparesis?,Diabetes Mellitus|Gastroparesis With Diabetes Mellitus|Gastroparesis
Which trial evaluated PROCEDURE: Pyloromyotomy?,PROCEDURE: Pyloromyotomy
Which trial evaluated Insulin Lispro 6 Day (6D)?,Insulin Lispro 6 Day (6D)
What studies investigated Improved Glycemic Control in Patients With Type 2 Diabetes?,Improved Glycemic Control in Patients With Type 2 Diabetes
Which trial evaluated HR17031 injection?,HR17031 injection
Which trial evaluated Mankai beverage?,Mankai beverage
Which trial evaluated My Diabetes Care?,My Diabetes Care
What studies investigated Type 2 Diabetes|Osteoporosis|Fractures?,Type 2 Diabetes|Osteoporosis|Fractures
Which trial evaluated Denosumab treatment in type 2 diabetes mellitus (T2DM) with osteoporosis patients?,Denosumab treatment in type 2 diabetes mellitus (T2DM) with osteoporosis patients
Which trial evaluated Lifestyle counseling?,Lifestyle counseling
What studies investigated PreDiabetes?,PreDiabetes
Which trial evaluated Zoom Group Video (GV)?,Zoom Group Video (GV)
"What studies investigated Diabetes|Diabetes Mellitus, Type 2|Delivery Systems?","Diabetes|Diabetes Mellitus, Type 2|Delivery Systems"
Which trial evaluated FlexPen®?,FlexPen®
What studies investigated Type2diabetes?,Type2diabetes
Which trial evaluated Diabetes Prevention Program (DPP)?,Diabetes Prevention Program (DPP)
What studies investigated Organizational Support for Evidence-based Public Health?,Organizational Support for Evidence-based Public Health
Which trial evaluated Dissemination of public health knowledge?,Dissemination of public health knowledge
What studies investigated Cystic Fibrosis|Cystic Fibrosis Related Diabetes?,Cystic Fibrosis|Cystic Fibrosis Related Diabetes
Which trial evaluated Oral Glucose Tolerance Test?,Oral Glucose Tolerance Test
What studies investigated Diabetic Ketoacidosis?,Diabetic Ketoacidosis
Which trial evaluated DKA protocol?,DKA protocol
"What studies investigated Diabetes Mellitus, Type 2|NASH - Nonalcoholic Steatohepatitis?","Diabetes Mellitus, Type 2|NASH - Nonalcoholic Steatohepatitis"
Which trial evaluated ORMD-0801 (Insulin) capsule 8 mg BD?,ORMD-0801 (Insulin) capsule 8 mg BD
What studies investigated Glucose Metabolism Disorder?,Glucose Metabolism Disorder
Which trial evaluated Oral glucose tolerance test (OGTT)?,Oral glucose tolerance test (OGTT)
Which trial evaluated Matching placebo?,Matching placebo
Which trial evaluated Experimental nutritional formula #M979?,Experimental nutritional formula #M979
What studies investigated Prediabetes?,Prediabetes
Which trial evaluated DIETARY_SUPPLEMENT: Persimmon leaf extract?,DIETARY_SUPPLEMENT: Persimmon leaf extract
"What studies investigated Gestational Diabetes|Other ""Heavy-For-Dates"" Infants|Small for Gestational Age Infant|Diabetes Mellitus, Type 2?","Gestational Diabetes|Other ""Heavy-For-Dates"" Infants|Small for Gestational Age Infant|Diabetes Mellitus, Type 2"
Which trial evaluated DIAGNOSTIC_TEST: meal tolerance test?,DIAGNOSTIC_TEST: meal tolerance test
Which trial evaluated Experimental?,Experimental
What studies investigated Bone and Joint Infections?,Bone and Joint Infections
Which trial evaluated Dapagliflozin?,Dapagliflozin
What studies investigated Endometrial Cancer?,Endometrial Cancer
Which trial evaluated Tirzepatide?,Tirzepatide
Which trial evaluated rituximab?,rituximab
Which trial evaluated intensive education intervention using a network of involved diabetic patients (peer educators)?,intensive education intervention using a network of involved diabetic patients (peer educators)
What studies investigated Metabolic Syndrome?,Metabolic Syndrome
Which trial evaluated Diet intervention?,Diet intervention
What studies investigated Cystic Fibrosis|Cystic Fibrosis-related Diabetes?,Cystic Fibrosis|Cystic Fibrosis-related Diabetes
Which trial evaluated MIE?,MIE
What studies investigated Diabetes|Gastric Content Aspiration|Glucagon-like Peptide 1|GLP-1?,Diabetes|Gastric Content Aspiration|Glucagon-like Peptide 1|GLP-1
Which trial evaluated DIAGNOSTIC_TEST: Gastric Ultrasound?,DIAGNOSTIC_TEST: Gastric Ultrasound
Which trial evaluated supervised exercise training?,supervised exercise training
Which trial evaluated BIOLOGICAL: Afrezza?,BIOLOGICAL: Afrezza
What studies investigated Hypertension in Pregnancy|Diabetes Mellitus in Pregnancy?,Hypertension in Pregnancy|Diabetes Mellitus in Pregnancy
What studies investigated Kidney Transplantation|Insulin Resistance|Atherosclerosis?,Kidney Transplantation|Insulin Resistance|Atherosclerosis
Which trial evaluated Pioglitazone?,Pioglitazone
What studies investigated Gambling?,Gambling
Which trial evaluated playing exergames?,playing exergames
What studies investigated Left Ventricular Hypertrophy|Insulin Resistance|Coronary Artery Disease|PreDiabetes?,Left Ventricular Hypertrophy|Insulin Resistance|Coronary Artery Disease|PreDiabetes
Which trial evaluated Metformin XL?,Metformin XL
Which trial evaluated Trend Arrow Adjustment Tool?,Trend Arrow Adjustment Tool
What studies investigated Diabete Type 2|Apical Periodontitis?,Diabete Type 2|Apical Periodontitis
Which trial evaluated PROCEDURE: Primary endodontic treatment?,PROCEDURE: Primary endodontic treatment
Which trial evaluated Glargine?,Glargine
Which trial evaluated Trientine Hydrochloride?,Trientine Hydrochloride
What studies investigated Diabetes Mellitus|Hypertension|Cardiovascular Diseases|Fatigue|Anemia|Liver Diseases|Medication Monitoring|Gout|Chronic Kidney Diseases|Lung Embolism|Acute Coronary Syndrome|Diarrhea|Thyroid Diseases|Sexually Transmitted Diseases|Rheumatoid Arthritis|Obesity|General Check-up?,Diabetes Mellitus|Hypertension|Cardiovascular Diseases|Fatigue|Anemia|Liver Diseases|Medication Monitoring|Gout|Chronic Kidney Diseases|Lung Embolism|Acute Coronary Syndrome|Diarrhea|Thyroid Diseases|Sexually Transmitted Diseases|Rheumatoid Arthritis|Obesity|General Check-up
Which trial evaluated CPOE with order sets for lab testing?,CPOE with order sets for lab testing
What studies investigated Diabetes Mellitus|Peripheral Neuropathies?,Diabetes Mellitus|Peripheral Neuropathies
Which trial evaluated Pregabalin?,Pregabalin
"What studies investigated Type 1 Diabetes Mellitus|Maturity-Onset Diabetes of the Young, Type 2|MODY2|Insulin Resistance?","Type 1 Diabetes Mellitus|Maturity-Onset Diabetes of the Young, Type 2|MODY2|Insulin Resistance"
"Which trial evaluated Hyperinsulinemic, euglycemic clamp?","Hyperinsulinemic, euglycemic clamp"
Which trial evaluated Lispro mix 75/25?,Lispro mix 75/25
Which trial evaluated Color Fundus Photography/Non-Mydriatic Opthalmic Cameras?,Color Fundus Photography/Non-Mydriatic Opthalmic Cameras
Which trial evaluated Closed-loop?,Closed-loop
What studies investigated Excessive Weight Gain During Pregnancy|Gestational Diabetes?,Excessive Weight Gain During Pregnancy|Gestational Diabetes
Which trial evaluated Healthy lifestyle counseling?,Healthy lifestyle counseling
Which trial evaluated Psychoeducation to reduce diabetes distress and improve glycemic outcomes?,Psychoeducation to reduce diabetes distress and improve glycemic outcomes
Which trial evaluated Clinical decision support and monitoring system?,Clinical decision support and monitoring system
Which trial evaluated Basal Insulin Titration Application?,Basal Insulin Titration Application
What studies investigated Mood Disorders|Hypertension|Diabetes|Hypercholesterolemia?,Mood Disorders|Hypertension|Diabetes|Hypercholesterolemia
Which trial evaluated Acceptance and Commitment Therapy plus Illness Management?,Acceptance and Commitment Therapy plus Illness Management
What studies investigated Knee Osteoarthristis|Diabetes (DM)|Obesity & Overweight|Chronic Kidney Disease?,Knee Osteoarthristis|Diabetes (DM)|Obesity & Overweight|Chronic Kidney Disease
Which trial evaluated NTU-JO Smart Program?,NTU-JO Smart Program
Which trial evaluated Sotagliflozin Low Dose?,Sotagliflozin Low Dose
What studies investigated PreDiabetes|Hiv?,PreDiabetes|Hiv
Which trial evaluated Canagliflozin?,Canagliflozin
Which trial evaluated Podimetrics SmartMat?,Podimetrics SmartMat
What studies investigated Type 2 Diabetes Mellitus|Mild Nonproliferative Diabetic Retinopathy?,Type 2 Diabetes Mellitus|Mild Nonproliferative Diabetic Retinopathy
What studies investigated Infections Joint Prosthetic|Overweight or Obesity|MSSA Colonization|MRSA|Chronic Kidney Diseases|Diabetes|Autoimmune Diseases|Inflammatory Disease|Tobacco Use?,Infections Joint Prosthetic|Overweight or Obesity|MSSA Colonization|MRSA|Chronic Kidney Diseases|Diabetes|Autoimmune Diseases|Inflammatory Disease|Tobacco Use
Which trial evaluated Cephalexin?,Cephalexin
"What studies investigated Diabetes|Diabetes Mellitus, Type 1?","Diabetes|Diabetes Mellitus, Type 1"
Which trial evaluated human insulin?,human insulin
Which trial evaluated Islet Transplantation?,Islet Transplantation
Which trial evaluated Continuous Glucose Monitor (CGM) and Telemedicine (Enlite Guardian real-time system Medtronic®)?,Continuous Glucose Monitor (CGM) and Telemedicine (Enlite Guardian real-time system Medtronic®)
What studies investigated Obesity or Overweight|Type 2 Diabetes?,Obesity or Overweight|Type 2 Diabetes
Which trial evaluated AZD5004?,AZD5004
"What studies investigated Non-Alcoholic Fatty Liver Disease|Diabetes Mellitus, Type 2?","Non-Alcoholic Fatty Liver Disease|Diabetes Mellitus, Type 2"
Which trial evaluated Levothyroxine Sodium?,Levothyroxine Sodium
Which trial evaluated DIETARY_SUPPLEMENT: Diet oil?,DIETARY_SUPPLEMENT: Diet oil
Which trial evaluated INSULIN GLARGINE?,INSULIN GLARGINE
Which trial evaluated Control?,Control
What studies investigated Gestational Diabetes?,Gestational Diabetes
Which trial evaluated Continuous glucose monitoring for 14 days using the Freestyle LibrePro by Abbott?,Continuous glucose monitoring for 14 days using the Freestyle LibrePro by Abbott
Which trial evaluated Empagliflozin 10mg daily?,Empagliflozin 10mg daily
"What studies investigated Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2?","Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2"
Which trial evaluated 4 mm x 32G Pen Needle?,4 mm x 32G Pen Needle
What studies investigated Type 2 DM Patients With Moderate or Severe Renal Impairment?,Type 2 DM Patients With Moderate or Severe Renal Impairment
Which trial evaluated Gemigliptin?,Gemigliptin
What studies investigated Ameliorating Oxidative Stress in Type 1 Diabetes?,Ameliorating Oxidative Stress in Type 1 Diabetes
Which trial evaluated N-acetyl cysteine?,N-acetyl cysteine
Which trial evaluated Gliclazide MR?,Gliclazide MR
What studies investigated Nonalcoholic Fatty Liver Disease?,Nonalcoholic Fatty Liver Disease
Which trial evaluated Life style intervention?,Life style intervention
Which trial evaluated Motivational Interviewing?,Motivational Interviewing
What studies investigated Diabetic Gastroparesis?,Diabetic Gastroparesis
Which trial evaluated Acupuncture?,Acupuncture
Which trial evaluated Lixisenatide?,Lixisenatide
What studies investigated Gestational Diabetes Mellitus in Pregnancy|Anxiety in Pregnancy?,Gestational Diabetes Mellitus in Pregnancy|Anxiety in Pregnancy
"Which trial evaluated Diet therapy, Progressive Muscle Relaxation training, Progressive Muscle Relaxation group?","Diet therapy, Progressive Muscle Relaxation training, Progressive Muscle Relaxation group"
What studies investigated Painful Diabetic Neuropathy?,Painful Diabetic Neuropathy
Which trial evaluated Cholecalciferol?,Cholecalciferol
What studies investigated Children and Adolescents With Type 1 Diabetes Mellitus?,Children and Adolescents With Type 1 Diabetes Mellitus
Which trial evaluated saxagliptin?,saxagliptin
What studies investigated Hypercortisolism?,Hypercortisolism
Which trial evaluated Relacorilant?,Relacorilant
Which trial evaluated automated telephone intervention vs. usual care?,automated telephone intervention vs. usual care
